grapheme,ground_truth_phoneme,predicted_phoneme,model
abb,ˈæb,The phonemic transcription for 'abb' in General American English is /æb/.,gpt-3.5-turbo
abbot,ˈæbət,The General American English phonemic transcription for 'abbot' is /ˈæbət/.,gpt-3.5-turbo
abdicated,ˈæbdəkˌeɪtəd,"Sure, the phonemic transcription for 'abdicated' in General American English is /ˈæbdɪˌkeɪtɪd/.",gpt-3.5-turbo
abednego,ˌæbɪdˈɛngˌoʊ,The General American English phonemic transcription for 'abednego' is /əˈbɛdnigoʊ/.,gpt-3.5-turbo
abelard,ˈæbɪlɚd,The General American English phonemic transcription for 'abelard' is /ˈæbəˌlɑɹd/.,gpt-3.5-turbo
abetment,ˈeɪbəmtˌɛnt,/əˈbɛtmənt/,gpt-3.5-turbo
abington,ˈæbɪŋtən,The General American English phonemic transcription for 'Abington' is /ˈæbɪŋtən/.,gpt-3.5-turbo
ableism,ˈeɪbəlˌɪzəm,/ˈeɪbəˌlɪzəm/,gpt-3.5-turbo
abood,əbˈuːd,The General American English phonemic transcription for 'abood' is /əˈbud/.,gpt-3.5-turbo
absently,ˈæbstəntli,The General American English phonemic transcription for 'absently' is /ˈæbsəntli/.,gpt-3.5-turbo
abusively,əbˈʌsəvli,"Sure, the phonemic transcription for 'abusively' in General American English is /əˈbjuːsɪvli/.",gpt-3.5-turbo
accelerant,æksˈɛlɚənt,/ækˈsɛləˌɹænt/,gpt-3.5-turbo
accuser,əkjˈuːzɚ,/əˈkjuzɚ/,gpt-3.5-turbo
achievable,ətʃˈiːvəbəl,/əˈtʃivəbəl/,gpt-3.5-turbo
acle,ˈækəl,The phonemic transcription for 'acle' in General American English is /ˈeɪkəl/.,gpt-3.5-turbo
acrylamide,ˈækɹəlˌaɪmd,The General American English phonemic transcription for 'acrylamide' is /əˈkrɪləˌmaɪd/.,gpt-3.5-turbo
adaptability,ədˌæptəbˈɪləti,"Sure, the phonemic transcription for 'adaptability' in General American English is /əˌdæp.təˈbɪl.ə.ti/.",gpt-3.5-turbo
adjoin,ədʒˈɔɪn,/ədˈʤɔɪn/,gpt-3.5-turbo
adjoined,ədʒˈɔɪnd,The General American English phonemic transcription for 'adjoined' is /əˈdʒɔɪnd/.,gpt-3.5-turbo
adjoining,ədʒˈɔɪnɪŋ,"Sure, the General American English phonemic transcription for 'adjoining' is /əˈdʒɔɪnɪŋ/.",gpt-3.5-turbo
adjoins,ədʒˈɔɪnz,"Sure, the phonemic transcription for 'adjoins' in General American English is /ədˈʤɔɪnz/.",gpt-3.5-turbo
adjudicator,ədʒˈuːdəkˌeɪtɚ,/əˈdʒuːdɪˌkeɪtəɹ/,gpt-3.5-turbo
admiring,ædmˈaɪɹɪŋ,"Sure, the General American English phonemic transcription for 'admiring' is /ədˈmaɪɹɪŋ/.",gpt-3.5-turbo
adoration,ˌædɚˈeɪʃən,"Sure, the General American English phonemic transcription for 'adoration' is /ˌædəˈɹeɪʃən/.",gpt-3.5-turbo
adr,ˈɑːdɚ,The phonemic transcription for 'adr' in General American English is /ædɹ/.,gpt-3.5-turbo
adroit,ədɹˈɔɪt,/əˈdɹɔɪt/,gpt-3.5-turbo
adulation,ˌædʒəlˈeɪʃən,/ˌædʒəˈleɪʃən/,gpt-3.5-turbo
adversary,ˈædvɚsˌɛɹi,"Sure, the General American English phonemic transcription for 'adversary' is /ˈædvɚˌsɛri/.",gpt-3.5-turbo
aerosol,ˈɛɹəsˌɑl,"Sure, the General American English phonemic transcription for 'aerosol' is /ˈɛroʊˌsɒl/.",gpt-3.5-turbo
affidavit,ˌæfədˈeɪvət,The General American English phonemic transcription for 'affidavit' is /ˌæfəˈdeɪvɪt/.,gpt-3.5-turbo
affliction,əflˈɪkʃən,"Sure, the phonemic transcription for 'affliction' in General American English is /əˈflɪkʃən/.",gpt-3.5-turbo
aforesaid,əfˈɔːɹsˌɛd,/əˈfɔɹˌsɛd/,gpt-3.5-turbo
aft,ˈæft,The General American English phonemic transcription for 'aft' is /æft/.,gpt-3.5-turbo
aftereffect,ˈæftɚəfˌɛkt,"Sure, the General American English phonemic transcription for 'aftereffect' is /ˈæftɚˌɪˌfɛkt/.",gpt-3.5-turbo
afterthought,ˈæftɚθˌɑt,"Sure, the General American English phonemic transcription for 'afterthought' is /ˈæftɚˌθɔt/.",gpt-3.5-turbo
ahasuerus,əhˌæʃəwˈɛɹəs,/əˌhæˈzjʊərəs/,gpt-3.5-turbo
aileron,ˈeɪlɚˌɑn,/ˈeɪləˌɹɑn/,gpt-3.5-turbo
ainu,ˈeɪnu,/ˈeɪnu/,gpt-3.5-turbo
akasa,əkˈɑːsə,The General American English phonemic transcription for 'akasa' is /əˈkeɪsə/.,gpt-3.5-turbo
akhi,ˈɑːki,The General American English phonemic transcription for 'akhi' is /ˈɑki/.,gpt-3.5-turbo
alcaide,ˈælkˌeɪd,The General American English phonemic transcription for 'alcaide' is /ˈælkeɪd/.,gpt-3.5-turbo
alcool,ˈælkˌul,The General American English phonemic transcription for 'alcool' is /ˈælkɑl/.,gpt-3.5-turbo
alfalfa,ˌælfˈælfə,The General American English phonemic transcription for 'alfalfa' is /ælˈfælfə/.,gpt-3.5-turbo
alibi,ˈæləbˌaɪ,The General American English phonemic transcription for 'alibi' is /ˈæləˌbaɪ/.,gpt-3.5-turbo
alim,ˈælɪm,The General American English phonemic transcription for 'alim' is /ˈælɪm/.,gpt-3.5-turbo
alkin,ˈælkɪn,The General American English phonemic transcription for 'alkin' is /ˈælkɪn/.,gpt-3.5-turbo
