grapheme,ground_truth_phoneme,predicted_phoneme,model
absolute,ˈæbsəlˌut,/ˈæbsəˌlut/,gpt-4o
academic,ˌækədˈɛmɪk,/ˌækəˈdɛmɪk/,gpt-4o
acceptance,æksˈɛptəns,/əkˈsɛptəns/,gpt-4o
accommodation,əkˌɑmədˈeɪʃən,/əˌkɑməˈdeɪʃən/,gpt-4o
accordance,əkˈɔːɹdəns,/əˈkɔɹdəns/,gpt-4o
acronyms,ˈækɹənɪmz,/ˈækɹəˌnɪmz/,gpt-4o
activist,ˈæktəvəst,The General American English phonemic transcription for 'activist' is /ˈæktɪvɪst/.,gpt-4o
adaptive,ədˈæptɪv,/əˈdæptɪv/,gpt-4o
adhere,ədhˈɪɹ,/ədˈhɪɹ/,gpt-4o
admire,ædmˈaɪɹ,/ədˈmaɪɹ/,gpt-4o
admired,ədmˈaɪɚd,/ədˈmaɪɹd/,gpt-4o
advisory,ædvˈaɪzɚi,/ədˈvaɪzəɹi/,gpt-4o
afraid,əfɹˈeɪd,/əˈfɹeɪd/,gpt-4o
afro,ˈæfɹoʊ,/ˈæfɹoʊ/,gpt-4o
agnes,ˈægnɪs,The General American English phonemic transcription for 'Agnes' is /ˈæɡnəs/.,gpt-4o
agreement,əgɹˈiːmənt,/əˈɡɹimənt/,gpt-4o
alert,əlˈɚt,/əˈlɝt/,gpt-4o
allergic,əlˈɚdʒɪk,/əˈlɝdʒɪk/,gpt-4o
alphabet,ˈælfəbˌɛt,The General American English phonemic transcription for 'alphabet' is /ˈælfəˌbɛt/.,gpt-4o
alps,ˈælps,The General American English phonemic transcription for 'alps' is /ælps/.,gpt-4o
ama,ˈɑːmə,The General American English phonemic transcription for 'ama' is /ˈɑmə/.,gpt-4o
amp,ˈæmp,The General American English phonemic transcription for 'amp' is /æmp/.,gpt-4o
amps,ˈæmps,The General American English phonemic transcription for 'amps' is /æmps/.,gpt-4o
analytical,ˌænəlˈɪtɪkəl,/ˌænəˈlɪtɪkəl/,gpt-4o
anchorage,ˈæŋkɚədʒ,/ˈæŋkəɹɪdʒ/,gpt-4o
answer,ˈænsɚ,The General American English phonemic transcription for 'answer' is /ˈænsɚ/.,gpt-4o
answers,ˈænsɚz,/ˈænsɚz/,gpt-4o
anthem,ˈænθəm,The General American English phonemic transcription for 'anthem' is /ˈænθəm/.,gpt-4o
anthropology,ˌænθɹəpˈɑːlədʒi,/ˌænθɹəˈpɑlədʒi/,gpt-4o
apologize,əpˈɑːlədʒˌaɪz,/əˈpɑləˌdʒaɪz/,gpt-4o
apparently,əpˈɛɹəntli,/əˈpɛɹəntli/,gpt-4o
approximately,əpɹˈɑːksəmətli,/əˈpɹɑksɪmətli/,gpt-4o
aruba,ɚˈuːbə,/əˈɹubə/,gpt-4o
ascent,əsˈɛnt,The General American English phonemic transcription for 'ascent' is /əˈsɛnt/.,gpt-4o
ask,ˈæsk,The General American English phonemic transcription for 'ask' is /æsk/.,gpt-4o
asks,ˈæsks,The General American English phonemic transcription for 'asks' is /æsks/.,gpt-4o
aspire,əspˈaɪɹ,/əˈspaɪɹ/,gpt-4o
assembly,əsˈɛmbli,/əˈsɛmbli/,gpt-4o
attentive,ətˈɛntɪv,/əˈtɛntɪv/,gpt-4o
attitude,ˈætətˌud,/ˈæɾəˌtud/,gpt-4o
attract,ətɹˈækt,/əˈtɹækt/,gpt-4o
attracted,ətɹˈæktəd,/əˈtɹæktɪd/,gpt-4o
auction,ˈɑːkʃən,The General American English phonemic transcription for 'auction' is /ˈɔkʃən/.,gpt-4o
automobile,ˈɔːtəmoʊbˌil,/ˈɔtəmoʊˌbil/,gpt-4o
awake,əwˈeɪk,/əˈweɪk/,gpt-4o
azerbaijani,ˌɑzɚbaɪdʒˈɑːni,/ˌæzɚbaɪˈdʒɑni/,gpt-4o
bahamas,bəhˈɑːməz,/bəˈhɑməz/,gpt-4o
barber,bˈɑːɹbɚ,/ˈbɑɹbɚ/,gpt-4o
basement,bˈeɪsmənt,/ˈbeɪsmənt/,gpt-4o
basketball,bˈæskətbˌɔl,/ˈbæskɪtˌbɔl/,gpt-4o
bathtub,bˈæθtəb,/bæθtʌb/,gpt-4o
baxter,bˈækstɚ,/bækstɚ/,gpt-4o
beautifully,bjˈuːtəfli,/ˈbjuɾəfəli/,gpt-4o
beauty,bjˈuːti,/ˈbjuti/,gpt-4o
beaver,bˈiːvɚ,/ˈbivɚ/,gpt-4o
behalf,bɪhˈæf,The General American English phonemic transcription for 'behalf' is /bɪˈhæf/.,gpt-4o
beings,bˈiːɪŋz,The General American English phonemic transcription for 'beings' is /ˈbiɪŋz/.,gpt-4o
belong,bɪlˈɔːŋ,/bɪˈlɔŋ/,gpt-4o
belonged,bɪlˈɔːŋd,/bɪˈlɔŋd/,gpt-4o
belonging,bɪlˈɔːŋɪŋ,/bɪˈlɔŋɪŋ/,gpt-4o
belongs,bɪlˈɔːŋz,The General American English phonemic transcription for 'belongs' is /bɪˈlɔŋz/.,gpt-4o
bend,bˈɛnd,/bɛnd/,gpt-4o
bending,bˈɛndɪŋ,The General American English phonemic transcription for 'bending' is /ˈbɛndɪŋ/.,gpt-4o
beneficial,bˌɛnəfˈɪʃəl,/ˌbɛnəˈfɪʃəl/,gpt-4o
