grapheme,ground_truth_phoneme,predicted_phoneme,model
absolute,ˈæbsəlˌut,The General American English phonemic transcription for 'absolute' is /ˈæbsəˌlut/.,gpt-3.5-turbo
academic,ˌækədˈɛmɪk,The General American English phonemic transcription for 'academic' is /əˌkædəˈmɪk/.,gpt-3.5-turbo
acceptance,æksˈɛptəns,"Sure, the phonemic transcription for 'acceptance' in General American English is /əkˈsɛptəns/.",gpt-3.5-turbo
accommodation,əkˌɑmədˈeɪʃən,/əˌkɑməˈdeɪʃən/,gpt-3.5-turbo
accordance,əkˈɔːɹdəns,The General American English phonemic transcription for 'accordance' is /əˈkɔɹdəns/.,gpt-3.5-turbo
acronyms,ˈækɹənɪmz,"Sure, the phonemic transcription for 'acronyms' in General American English is /ˈækrəˌnɪmz/.",gpt-3.5-turbo
activist,ˈæktəvəst,/ˈæktəvɪst/,gpt-3.5-turbo
adaptive,ədˈæptɪv,/əˈdæptɪv/,gpt-3.5-turbo
adhere,ədhˈɪɹ,The General American English phonemic transcription for 'adhere' is /ədˈhɪɹ/.,gpt-3.5-turbo
admire,ædmˈaɪɹ,"Sure, the General American English phonemic transcription for 'admire' is /ədˈmaɪɹ/.",gpt-3.5-turbo
admired,ədmˈaɪɚd,The General American English phonemic transcription for 'admired' is /ədˈmaɪɹd/.,gpt-3.5-turbo
advisory,ædvˈaɪzɚi,/ədˈvaɪzəɹi/,gpt-3.5-turbo
afraid,əfɹˈeɪd,The General American English phonemic transcription for 'afraid' is /əˈfɹeɪd/.,gpt-3.5-turbo
afro,ˈæfɹoʊ,/ˈæfɹoʊ/,gpt-3.5-turbo
agnes,ˈægnɪs,The General American English phonemic transcription for 'agnes' is /ˈæɡnəs/.,gpt-3.5-turbo
agreement,əgɹˈiːmənt,"Sure, the phonemic transcription for 'agreement' in General American English is /əˈɡɹimənt/.",gpt-3.5-turbo
alert,əlˈɚt,The General American English phonemic transcription for 'alert' is /əˈlɝt/.,gpt-3.5-turbo
allergic,əlˈɚdʒɪk,The General American English phonemic transcription for 'allergic' is /əˈlɝdʒɪk/.,gpt-3.5-turbo
alphabet,ˈælfəbˌɛt,The General American English phonemic transcription for 'alphabet' is /ˈælfəbɛt/.,gpt-3.5-turbo
alps,ˈælps,The General American English phonemic transcription for 'alps' is /ælps/.,gpt-3.5-turbo
ama,ˈɑːmə,The General American English phonemic transcription for 'ama' is /ˈeɪmə/.,gpt-3.5-turbo
amp,ˈæmp,The General American English phonemic transcription for 'amp' is /æmp/.,gpt-3.5-turbo
amps,ˈæmps,/æmps/,gpt-3.5-turbo
analytical,ˌænəlˈɪtɪkəl,The General American English phonemic transcription for 'analytical' is /ˌænəˈlɪtɪkəl/.,gpt-3.5-turbo
anchorage,ˈæŋkɚədʒ,/ˈæŋkəɹɪdʒ/,gpt-3.5-turbo
answer,ˈænsɚ,"Sure, the General American English phonemic transcription for 'answer' is /ˈænsəɹ/.",gpt-3.5-turbo
answers,ˈænsɚz,"Sure, the phonemic transcription for 'answers' in General American English is /ˈænsərz/.",gpt-3.5-turbo
anthem,ˈænθəm,The General American English phonemic transcription for 'anthem' is /ˈænˌθɛm/.,gpt-3.5-turbo
anthropology,ˌænθɹəpˈɑːlədʒi,"Sure, the General American English phonemic transcription for 'anthropology' is /ænˈθɹəˈpɑlədʒi/.",gpt-3.5-turbo
apologize,əpˈɑːlədʒˌaɪz,The General American English phonemic transcription for 'apologize' is /əˈpɑləˌdʒaɪz/.,gpt-3.5-turbo
apparently,əpˈɛɹəntli,/əˈpærəntli/,gpt-3.5-turbo
approximately,əpɹˈɑːksəmətli,/əˈpɹɑksəmətli/,gpt-3.5-turbo
aruba,ɚˈuːbə,/əˈɹubə/,gpt-3.5-turbo
ascent,əsˈɛnt,The General American English phonemic transcription for 'ascent' is /əˈsɛnt/.,gpt-3.5-turbo
ask,ˈæsk,The General American English phonemic transcription for 'ask' is /æsk/.,gpt-3.5-turbo
asks,ˈæsks,The General American English phonemic transcription for 'asks' is /æsks/.,gpt-3.5-turbo
aspire,əspˈaɪɹ,/əˈspaɪɹ/,gpt-3.5-turbo
assembly,əsˈɛmbli,"Sure, the phonemic transcription for 'assembly' in General American English is /əˈsɛmbli/.",gpt-3.5-turbo
attentive,ətˈɛntɪv,The General American English phonemic transcription for 'attentive' is /əˈtɛntɪv/.,gpt-3.5-turbo
attitude,ˈætətˌud,"Sure, the General American English phonemic transcription for 'attitude' is /ˈætəˌtud/.",gpt-3.5-turbo
attract,ətɹˈækt,/əˈtɹækt/,gpt-3.5-turbo
attracted,ətɹˈæktəd,/əˈtɹæktɪd/,gpt-3.5-turbo
auction,ˈɑːkʃən,The General American English phonemic transcription for 'auction' is /ˈɔkʃən/.,gpt-3.5-turbo
automobile,ˈɔːtəmoʊbˌil,/ˈɔtəmoʊˌbil/,gpt-3.5-turbo
awake,əwˈeɪk,/əˈweɪk/,gpt-3.5-turbo
azerbaijani,ˌɑzɚbaɪdʒˈɑːni,/ˌæzəɹbaɪˈdʒɑni/,gpt-3.5-turbo
bahamas,bəhˈɑːməz,The General American English phonemic transcription for 'Bahamas' is /bəˈhɑməz/.,gpt-3.5-turbo
barber,bˈɑːɹbɚ,/bɑrbɚ/,gpt-3.5-turbo
basement,bˈeɪsmənt,"Sure, the phonemic transcription for 'basement' in General American English is /ˈbeɪsmənt/.",gpt-3.5-turbo
basketball,bˈæskətbˌɔl,The General American English phonemic transcription for 'basketball' is /ˈbæskɪtˌbɔl/.,gpt-3.5-turbo
bathtub,bˈæθtəb,The General American English phonemic transcription for 'bathtub' is /ˈbæθtʌb/.,gpt-3.5-turbo
baxter,bˈækstɚ,The General American English phonemic transcription for 'baxter' is /ˈbæks.tɚ/.,gpt-3.5-turbo
beautifully,bjˈuːtəfli,/ˈbjutəfəli/,gpt-3.5-turbo
beauty,bjˈuːti,The General American English phonemic transcription for 'beauty' is /ˈbjuti/.,gpt-3.5-turbo
beaver,bˈiːvɚ,The General American English phonemic transcription for 'beaver' is /ˈbiːvəɹ/.,gpt-3.5-turbo
behalf,bɪhˈæf,/ˈbɪˌhæf/,gpt-3.5-turbo
beings,bˈiːɪŋz,The General American English phonemic transcription for 'beings' is /ˈbiɪŋz/.,gpt-3.5-turbo
belong,bɪlˈɔːŋ,The General American English phonemic transcription for 'belong' is /bɪˈlɔŋ/.,gpt-3.5-turbo
belonged,bɪlˈɔːŋd,The General American English phonemic transcription for 'belonged' is /bɪˈlɔŋd/.,gpt-3.5-turbo
