grapheme,ground_truth_phoneme,predicted_phoneme,model
abb,ˈæb,The General American English phonemic transcription for 'abb' is /æb/.,gpt-4o
abbot,ˈæbət,The General American English phonemic transcription for 'abbot' is /ˈæbət/.,gpt-4o
abdicated,ˈæbdəkˌeɪtəd,/ˈæbdɪˌkeɪtɪd/,gpt-4o
abednego,ˌæbɪdˈɛngˌoʊ,/əˈbɛdˌnɪɡoʊ/,gpt-4o
abelard,ˈæbɪlɚd,/ˈæbəˌlɑɹd/,gpt-4o
abetment,ˈeɪbəmtˌɛnt,/əˈbɛtmənt/,gpt-4o
abington,ˈæbɪŋtən,/ˈæbɪŋtən/,gpt-4o
ableism,ˈeɪbəlˌɪzəm,/ˈeɪbəlˌɪzəm/,gpt-4o
abood,əbˈuːd,/əˈbud/,gpt-4o
absently,ˈæbstəntli,/ˈæbsəntli/,gpt-4o
abusively,əbˈʌsəvli,/əˈbjusɪvli/,gpt-4o
accelerant,æksˈɛlɚənt,/əkˈsɛləɹənt/,gpt-4o
accuser,əkjˈuːzɚ,/əˈkjuzɚ/,gpt-4o
achievable,ətʃˈiːvəbəl,/əˈtʃivəbl̩/,gpt-4o
acle,ˈækəl,"The word 'acle' on its own does not have a standard pronunciation in General American English, as it typically appears as a suffix in words like 'miracle' or 'spectacle'. However, if you are referring to the suffix itself, it would be pronounced as /əkəl/ in GAE.",gpt-4o
acrylamide,ˈækɹəlˌaɪmd,/əˈkɹɪləˌmaɪd/,gpt-4o
adaptability,ədˌæptəbˈɪləti,/əˌdæptəˈbɪləti/,gpt-4o
adjoin,ədʒˈɔɪn,/əˈdʒɔɪn/,gpt-4o
adjoined,ədʒˈɔɪnd,/əˈdʒɔɪnd/,gpt-4o
adjoining,ədʒˈɔɪnɪŋ,The General American English phonemic transcription for 'adjoining' is /əˈdʒɔɪnɪŋ/.,gpt-4o
adjoins,ədʒˈɔɪnz,/əˈdʒɔɪnz/,gpt-4o
adjudicator,ədʒˈuːdəkˌeɪtɚ,/əˈdʒudɪˌkeɪtɚ/,gpt-4o
admiring,ædmˈaɪɹɪŋ,/ədˈmaɪɹɪŋ/,gpt-4o
adoration,ˌædɚˈeɪʃən,/ˌædəˈɹeɪʃən/,gpt-4o
adr,ˈɑːdɚ,"It seems there might be a misunderstanding, as ""adr"" does not correspond to a standard English word. If you meant an abbreviation or acronym, it would typically be pronounced as individual letters: /ˌeɪˌdiˈɑɹ/. If you intended a different word, please provide more context.",gpt-4o
adroit,ədɹˈɔɪt,/əˈdɹɔɪt/,gpt-4o
