grapheme,ground_truth_phoneme,predicted_phoneme,model_id
abb,ˈæb,/æb/,google/gemma-2-9b-it
abbot,ˈæbət,/ˈæbət/,google/gemma-2-9b-it
abdicated,ˈæbdəkˌeɪtəd,/əbˈdɪkeɪtɪd/,google/gemma-2-9b-it
abednego,ˌæbɪdˈɛngˌoʊ,/ˈæbədˈneɡoʊ/,google/gemma-2-9b-it
abelard,ˈæbɪlɚd,/ˈeɪbərlərd/,google/gemma-2-9b-it
abetment,ˈeɪbəmtˌɛnt,/əˈbɛtmənt/,google/gemma-2-9b-it
abington,ˈæbɪŋtən,/ˌæbɪŋtən/,google/gemma-2-9b-it
ableism,ˈeɪbəlˌɪzəm,/ˈeɪblɪzəm/,google/gemma-2-9b-it
abood,əbˈuːd,/əˈbuːd/,google/gemma-2-9b-it
absently,ˈæbstəntli,/ˈæbsəntli/,google/gemma-2-9b-it
abusively,əbˈʌsəvli,/əbˈjuːzɪvli/,google/gemma-2-9b-it
accelerant,æksˈɛlɚənt,/ˌækˈsɛlərənt/,google/gemma-2-9b-it
accuser,əkjˈuːzɚ,/əˈkjuːzər/,google/gemma-2-9b-it
achievable,ətʃˈiːvəbəl,/əˈtʃiːvəbl/,google/gemma-2-9b-it
acle,ˈækəl,/ˈækəl/,google/gemma-2-9b-it
acrylamide,ˈækɹəlˌaɪmd,/ˌækrɪˈlaˌmaɪd/,google/gemma-2-9b-it
adaptability,ədˌæptəbˈɪləti,/ˌædˈæptəˈbɪləti/,google/gemma-2-9b-it
adjoin,ədʒˈɔɪn,/ədˈdʒɔɪn/,google/gemma-2-9b-it
adjoined,ədʒˈɔɪnd,/ədˈdʒɔɪnd/,google/gemma-2-9b-it
adjoining,ədʒˈɔɪnɪŋ,/ədˈdʒɔɪnɪŋ/,google/gemma-2-9b-it
adjoins,ədʒˈɔɪnz,/ədˈdʒɔɪnz/,google/gemma-2-9b-it
adjudicator,ədʒˈuːdəkˌeɪtɚ,/ædˈdʒuːdɪˌkeɪtər/,google/gemma-2-9b-it
admiring,ædmˈaɪɹɪŋ,/ədˈmaɪrɪŋ/,google/gemma-2-9b-it
adoration,ˌædɚˈeɪʃən,/ˌædɔːˈreɪʃən/,google/gemma-2-9b-it
adr,ˈɑːdɚ,/ædɹ/,google/gemma-2-9b-it
adroit,ədɹˈɔɪt,/əˈdrɔɪt/,google/gemma-2-9b-it
adulation,ˌædʒəlˈeɪʃən,/ˌædjuːˈleɪʃən/,google/gemma-2-9b-it
adversary,ˈædvɚsˌɛɹi,/ˈædˌvɜːrsəri/,google/gemma-2-9b-it
aerosol,ˈɛɹəsˌɑl,/ˈɛroʊˌsoʊl/,google/gemma-2-9b-it
affidavit,ˌæfədˈeɪvət,/əˈfɪdɪvɪt/,google/gemma-2-9b-it
affliction,əflˈɪkʃən,/əˈflɪkʃən/,google/gemma-2-9b-it
aforesaid,əfˈɔːɹsˌɛd,/əˈfɔːrˌseɪd/,google/gemma-2-9b-it
aft,ˈæft,/æft/,google/gemma-2-9b-it
