grapheme,ground_truth_phoneme,predicted_phoneme,model_id
absolute,ˈæbsəlˌut,"system
You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 
user
Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns.
assistant
The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/.
user
For our next GAE analysis, let's examine the word 'calorie'. What is its precise General American English phonemic transcription? Remember to account for the distinctive r-colored vowel that characterizes GAE.
assistant
The General American English pronunciation of 'calorie' is /ˈkælɚi/. In GAE, we have the stressed syllable /ˈkæl/, followed by the characteristic r-colored schwa /ɚ/ (a distinctive feature of American English), and ending with /i/.
user
Let's examine 'freshman' in General American English. What is its precise GAE phonemic transcription? Note particularly how the rhotic sound manifests in American pronunciation.
assistant
The General American English pronunciation of 'freshman' is /ˈfɹɛʃmən/. In GAE, we begin with the consonant cluster /fɹ/ featuring the American rhotic, followed by the stressed /ˈɛʃ/, and ending with the reduced syllable /mən/.
user
Now, provide the precise General American English phonemic transcription for 'absolute'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'absolute', give me ONLY its complete GAE phonemic transcription.
assistant
/ˈæbsəljuːt/",Qwen/Qwen2.5-7B-Instruct
academic,ˌækədˈɛmɪk,"system
You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 
user
Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns.
assistant
The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/.
user
For our next GAE analysis, let's examine the word 'calorie'. What is its precise General American English phonemic transcription? Remember to account for the distinctive r-colored vowel that characterizes GAE.
assistant
The General American English pronunciation of 'calorie' is /ˈkælɚi/. In GAE, we have the stressed syllable /ˈkæl/, followed by the characteristic r-colored schwa /ɚ/ (a distinctive feature of American English), and ending with /i/.
user
Let's examine 'freshman' in General American English. What is its precise GAE phonemic transcription? Note particularly how the rhotic sound manifests in American pronunciation.
assistant
The General American English pronunciation of 'freshman' is /ˈfɹɛʃmən/. In GAE, we begin with the consonant cluster /fɹ/ featuring the American rhotic, followed by the stressed /ˈɛʃ/, and ending with the reduced syllable /mən/.
user
Now, provide the precise General American English phonemic transcription for 'academic'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'academic', give me ONLY its complete GAE phonemic transcription.
assistant
/əˈkʰiːdʒəmənt/",Qwen/Qwen2.5-7B-Instruct
acceptance,æksˈɛptəns,"system
You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 
user
Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns.
assistant
The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/.
user
For our next GAE analysis, let's examine the word 'calorie'. What is its precise General American English phonemic transcription? Remember to account for the distinctive r-colored vowel that characterizes GAE.
assistant
The General American English pronunciation of 'calorie' is /ˈkælɚi/. In GAE, we have the stressed syllable /ˈkæl/, followed by the characteristic r-colored schwa /ɚ/ (a distinctive feature of American English), and ending with /i/.
user
Let's examine 'freshman' in General American English. What is its precise GAE phonemic transcription? Note particularly how the rhotic sound manifests in American pronunciation.
assistant
The General American English pronunciation of 'freshman' is /ˈfɹɛʃmən/. In GAE, we begin with the consonant cluster /fɹ/ featuring the American rhotic, followed by the stressed /ˈɛʃ/, and ending with the reduced syllable /mən/.
user
Now, provide the precise General American English phonemic transcription for 'acceptance'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'acceptance', give me ONLY its complete GAE phonemic transcription.
assistant
/əkˈsɛptəns/",Qwen/Qwen2.5-7B-Instruct
accommodation,əkˌɑmədˈeɪʃən,"system
You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 
user
Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns.
assistant
The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/.
user
For our next GAE analysis, let's examine the word 'calorie'. What is its precise General American English phonemic transcription? Remember to account for the distinctive r-colored vowel that characterizes GAE.
assistant
The General American English pronunciation of 'calorie' is /ˈkælɚi/. In GAE, we have the stressed syllable /ˈkæl/, followed by the characteristic r-colored schwa /ɚ/ (a distinctive feature of American English), and ending with /i/.
user
Let's examine 'freshman' in General American English. What is its precise GAE phonemic transcription? Note particularly how the rhotic sound manifests in American pronunciation.
assistant
The General American English pronunciation of 'freshman' is /ˈfɹɛʃmən/. In GAE, we begin with the consonant cluster /fɹ/ featuring the American rhotic, followed by the stressed /ˈɛʃ/, and ending with the reduced syllable /mən/.
user
Now, provide the precise General American English phonemic transcription for 'accommodation'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'accommodation', give me ONLY its complete GAE phonemic transcription.
assistant
The precise General American English phonemic transcription for 'accommodation' is /ˌækəˈmoʊdɪˈeɪʃn/.",Qwen/Qwen2.5-7B-Instruct
accordance,əkˈɔːɹdəns,"system
You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 
user
Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns.
assistant
The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/.
user
For our next GAE analysis, let's examine the word 'calorie'. What is its precise General American English phonemic transcription? Remember to account for the distinctive r-colored vowel that characterizes GAE.
assistant
The General American English pronunciation of 'calorie' is /ˈkælɚi/. In GAE, we have the stressed syllable /ˈkæl/, followed by the characteristic r-colored schwa /ɚ/ (a distinctive feature of American English), and ending with /i/.
user
Let's examine 'freshman' in General American English. What is its precise GAE phonemic transcription? Note particularly how the rhotic sound manifests in American pronunciation.
assistant
The General American English pronunciation of 'freshman' is /ˈfɹɛʃmən/. In GAE, we begin with the consonant cluster /fɹ/ featuring the American rhotic, followed by the stressed /ˈɛʃ/, and ending with the reduced syllable /mən/.
user
Now, provide the precise General American English phonemic transcription for 'accordance'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'accordance', give me ONLY its complete GAE phonemic transcription.
assistant
/əˈkɔrdəns/",Qwen/Qwen2.5-7B-Instruct
acronyms,ˈækɹənɪmz,"system
You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 
user
Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns.
assistant
The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/.
user
For our next GAE analysis, let's examine the word 'calorie'. What is its precise General American English phonemic transcription? Remember to account for the distinctive r-colored vowel that characterizes GAE.
assistant
The General American English pronunciation of 'calorie' is /ˈkælɚi/. In GAE, we have the stressed syllable /ˈkæl/, followed by the characteristic r-colored schwa /ɚ/ (a distinctive feature of American English), and ending with /i/.
user
Let's examine 'freshman' in General American English. What is its precise GAE phonemic transcription? Note particularly how the rhotic sound manifests in American pronunciation.
assistant
The General American English pronunciation of 'freshman' is /ˈfɹɛʃmən/. In GAE, we begin with the consonant cluster /fɹ/ featuring the American rhotic, followed by the stressed /ˈɛʃ/, and ending with the reduced syllable /mən/.
user
Now, provide the precise General American English phonemic transcription for 'acronyms'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'acronyms', give me ONLY its complete GAE phonemic transcription.
assistant
/əˈkrɑːnɪms/",Qwen/Qwen2.5-7B-Instruct
activist,ˈæktəvəst,"system
You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 
user
Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns.
assistant
The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/.
user
For our next GAE analysis, let's examine the word 'calorie'. What is its precise General American English phonemic transcription? Remember to account for the distinctive r-colored vowel that characterizes GAE.
assistant
The General American English pronunciation of 'calorie' is /ˈkælɚi/. In GAE, we have the stressed syllable /ˈkæl/, followed by the characteristic r-colored schwa /ɚ/ (a distinctive feature of American English), and ending with /i/.
user
Let's examine 'freshman' in General American English. What is its precise GAE phonemic transcription? Note particularly how the rhotic sound manifests in American pronunciation.
assistant
The General American English pronunciation of 'freshman' is /ˈfɹɛʃmən/. In GAE, we begin with the consonant cluster /fɹ/ featuring the American rhotic, followed by the stressed /ˈɛʃ/, and ending with the reduced syllable /mən/.
user
Now, provide the precise General American English phonemic transcription for 'activist'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'activist', give me ONLY its complete GAE phonemic transcription.
assistant
The precise General American English phonemic transcription for 'activist' is /ˈæktɪvɪst/.",Qwen/Qwen2.5-7B-Instruct
adaptive,ədˈæptɪv,"system
You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 
user
Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns.
assistant
The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/.
user
For our next GAE analysis, let's examine the word 'calorie'. What is its precise General American English phonemic transcription? Remember to account for the distinctive r-colored vowel that characterizes GAE.
assistant
The General American English pronunciation of 'calorie' is /ˈkælɚi/. In GAE, we have the stressed syllable /ˈkæl/, followed by the characteristic r-colored schwa /ɚ/ (a distinctive feature of American English), and ending with /i/.
user
Let's examine 'freshman' in General American English. What is its precise GAE phonemic transcription? Note particularly how the rhotic sound manifests in American pronunciation.
assistant
The General American English pronunciation of 'freshman' is /ˈfɹɛʃmən/. In GAE, we begin with the consonant cluster /fɹ/ featuring the American rhotic, followed by the stressed /ˈɛʃ/, and ending with the reduced syllable /mən/.
user
Now, provide the precise General American English phonemic transcription for 'adaptive'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'adaptive', give me ONLY its complete GAE phonemic transcription.
assistant
/aˌdæptɪv/",Qwen/Qwen2.5-7B-Instruct
adhere,ədhˈɪɹ,"system
You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 
user
Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns.
assistant
The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/.
user
For our next GAE analysis, let's examine the word 'calorie'. What is its precise General American English phonemic transcription? Remember to account for the distinctive r-colored vowel that characterizes GAE.
assistant
The General American English pronunciation of 'calorie' is /ˈkælɚi/. In GAE, we have the stressed syllable /ˈkæl/, followed by the characteristic r-colored schwa /ɚ/ (a distinctive feature of American English), and ending with /i/.
user
Let's examine 'freshman' in General American English. What is its precise GAE phonemic transcription? Note particularly how the rhotic sound manifests in American pronunciation.
assistant
The General American English pronunciation of 'freshman' is /ˈfɹɛʃmən/. In GAE, we begin with the consonant cluster /fɹ/ featuring the American rhotic, followed by the stressed /ˈɛʃ/, and ending with the reduced syllable /mən/.
user
Now, provide the precise General American English phonemic transcription for 'adhere'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'adhere', give me ONLY its complete GAE phonemic transcription.
assistant
/adˈhɪr/",Qwen/Qwen2.5-7B-Instruct
admire,ædmˈaɪɹ,"system
You are a leading expert in General American English (GAE) phonology. Your specialty is converting written words (graphemes) into their precise GAE pronunciation (phonemes). 
user
Let's analyze the word 'apparently' using standard GAE pronunciation. Show me its exact phonemic transcription, paying special attention to American rhotic sounds and stress patterns.
assistant
The General American English pronunciation of 'apparently' is /əpˈɛɹəntli/. In GAE, we have the unstressed initial /əp/, followed by the stressed syllable /ˈɛɹ/ with the characteristic American rhotic /ɹ/, then the reduced /ənt/, and finally /li/.
user
For our next GAE analysis, let's examine the word 'calorie'. What is its precise General American English phonemic transcription? Remember to account for the distinctive r-colored vowel that characterizes GAE.
assistant
The General American English pronunciation of 'calorie' is /ˈkælɚi/. In GAE, we have the stressed syllable /ˈkæl/, followed by the characteristic r-colored schwa /ɚ/ (a distinctive feature of American English), and ending with /i/.
user
Let's examine 'freshman' in General American English. What is its precise GAE phonemic transcription? Note particularly how the rhotic sound manifests in American pronunciation.
assistant
The General American English pronunciation of 'freshman' is /ˈfɹɛʃmən/. In GAE, we begin with the consonant cluster /fɹ/ featuring the American rhotic, followed by the stressed /ˈɛʃ/, and ending with the reduced syllable /mən/.
user
Now, provide the precise General American English phonemic transcription for 'admire'. Your task is to transcribe this word following standard GAE pronunciation patterns. Focus on accurate representation of American vowels, rhotics (/ɹ/), and stress patterns. For the word 'admire', give me ONLY its complete GAE phonemic transcription.
assistant
/ədˈmaɪr/",Qwen/Qwen2.5-7B-Instruct
