grapheme,ground_truth_phoneme,predicted_phoneme,model_id
absolute,ˈæbsəlˌut,/ˈæbsəluːt/,google/gemma-2-27b-it
academic,ˌækədˈɛmɪk,/ˌækəˈdɛmɪk/,google/gemma-2-27b-it
acceptance,æksˈɛptəns,/əkˈsɛptəns/,google/gemma-2-27b-it
accommodation,əkˌɑmədˈeɪʃən,/əˌkɑːməˈdeɪʃən/,google/gemma-2-27b-it
accordance,əkˈɔːɹdəns,/əˈkɔrdəns/,google/gemma-2-27b-it
acronyms,ˈækɹənɪmz,/ˈækrənɪmz/,google/gemma-2-27b-it
activist,ˈæktəvəst,/ˈæktɪvɪst/,google/gemma-2-27b-it
adaptive,ədˈæptɪv,/əˈdæptɪv/,google/gemma-2-27b-it
adhere,ədhˈɪɹ,/ədˈhɪr/,google/gemma-2-27b-it
admire,ædmˈaɪɹ,/ədˈmaɪər/,google/gemma-2-27b-it
admired,ədmˈaɪɚd,/ədˈmaɪərd/,google/gemma-2-27b-it
advisory,ædvˈaɪzɚi,/ədˈvaɪzəri/,google/gemma-2-27b-it
afraid,əfɹˈeɪd,/əˈfreɪd/,google/gemma-2-27b-it
afro,ˈæfɹoʊ,/ˈæfroʊ/,google/gemma-2-27b-it
agnes,ˈægnɪs,/ˈæɡnɪs/,google/gemma-2-27b-it
agreement,əgɹˈiːmənt,/əˈɡriːmənt/,google/gemma-2-27b-it
alert,əlˈɚt,/əˈlɝt/,google/gemma-2-27b-it
allergic,əlˈɚdʒɪk,/əˈlɜːrdʒɪk/,google/gemma-2-27b-it
alphabet,ˈælfəbˌɛt,/ˈælfəbɛt/,google/gemma-2-27b-it
alps,ˈælps,/ælps/,google/gemma-2-27b-it
ama,ˈɑːmə,/ˈæmə/,google/gemma-2-27b-it
amp,ˈæmp,/æmp/,google/gemma-2-27b-it
amps,ˈæmps,/æmps/,google/gemma-2-27b-it
analytical,ˌænəlˈɪtɪkəl,/ˌænəˈlɪtɪkəl/,google/gemma-2-27b-it
anchorage,ˈæŋkɚədʒ,/ˈæŋkərɪdʒ/,google/gemma-2-27b-it
answer,ˈænsɚ,/ˈænsər/,google/gemma-2-27b-it
answers,ˈænsɚz,/ˈænsərz/,google/gemma-2-27b-it
anthem,ˈænθəm,/ˈænθəm/,google/gemma-2-27b-it
anthropology,ˌænθɹəpˈɑːlədʒi,/ˌænθrəˈpɑlədʒi/,google/gemma-2-27b-it
apologize,əpˈɑːlədʒˌaɪz,/əˈpɑlədʒaɪz/,google/gemma-2-27b-it
apparently,əpˈɛɹəntli,/əˈpɛɹəntli/,google/gemma-2-27b-it
approximately,əpɹˈɑːksəmətli,/əˈprɑːksɪmətli/,google/gemma-2-27b-it
aruba,ɚˈuːbə,/əˈruːbə/,google/gemma-2-27b-it
ascent,əsˈɛnt,/əˈsɛnt/,google/gemma-2-27b-it
ask,ˈæsk,/æsk/,google/gemma-2-27b-it
asks,ˈæsks,/æks/,google/gemma-2-27b-it
aspire,əspˈaɪɹ,/əˈspaɪər/,google/gemma-2-27b-it
assembly,əsˈɛmbli,/əˈsɛmbli/,google/gemma-2-27b-it
attentive,ətˈɛntɪv,/əˈtɛntɪv/,google/gemma-2-27b-it
attitude,ˈætətˌud,/ˈætɪtuːd/,google/gemma-2-27b-it
attract,ətɹˈækt,/əˈtrækt/,google/gemma-2-27b-it
attracted,ətɹˈæktəd,/əˈtræktɪd/,google/gemma-2-27b-it
auction,ˈɑːkʃən,/ˈɔːkʃən/,google/gemma-2-27b-it
automobile,ˈɔːtəmoʊbˌil,/ˈɔːtəmoʊbiːl/,google/gemma-2-27b-it
awake,əwˈeɪk,/əˈweɪk/,google/gemma-2-27b-it
azerbaijani,ˌɑzɚbaɪdʒˈɑːni,/ˌæzərbaɪˈdʒɑːni/,google/gemma-2-27b-it
bahamas,bəhˈɑːməz,/bəˈhɑːməz/,google/gemma-2-27b-it
barber,bˈɑːɹbɚ,/ˈbɑɹbər/,google/gemma-2-27b-it
basement,bˈeɪsmənt,/ˈbeɪsmənt/,google/gemma-2-27b-it
basketball,bˈæskətbˌɔl,/ˈbæskɪtbɔl/,google/gemma-2-27b-it
bathtub,bˈæθtəb,/ˈbæθtʌb/,google/gemma-2-27b-it
baxter,bˈækstɚ,/ˈbækstər/,google/gemma-2-27b-it
beautifully,bjˈuːtəfli,/ˈbjutɪfəli/,google/gemma-2-27b-it
beauty,bjˈuːti,/ˈbjutɪ/,google/gemma-2-27b-it
beaver,bˈiːvɚ,/ˈbiːvər/,google/gemma-2-27b-it
behalf,bɪhˈæf,/bɪˈhæf/,google/gemma-2-27b-it
beings,bˈiːɪŋz,/ˈbiːɪŋz/,google/gemma-2-27b-it
belong,bɪlˈɔːŋ,/bɪˈlɒŋ/,google/gemma-2-27b-it
belonged,bɪlˈɔːŋd,/bɪˈlɔŋd/,google/gemma-2-27b-it
belonging,bɪlˈɔːŋɪŋ,/bɪˈlɒŋɪŋ/,google/gemma-2-27b-it
belongs,bɪlˈɔːŋz,/bɪˈlɒŋz/,google/gemma-2-27b-it
bend,bˈɛnd,/bɛnd/,google/gemma-2-27b-it
bending,bˈɛndɪŋ,/ˈbɛndɪŋ/,google/gemma-2-27b-it
